Frage;richtige Antwort;Antwort2;Antwort3;Antwort4;Vorkommentar;Nachkommentar;Bildurl;Thema;Schwierigkeitsstufe
Welche Formel passt: Die Energie, die einem Körper innewohnt, entspricht seiner Masse, multipliziert mit dem Quadrat der Lichtgeschwindigkeit?;E = mc²;E = mg²;A= A+B-B;E = mc³;;;;Nat.-wissenschaften;2
Auf welchem Prinzip basiert die chinesische Astrologie?;auf dem Sonne-Mond Zyklus;auf keinem;auf den Mondphasen;auf dem Jahresablauf;;;;Nat.-wissenschaften;3
Wann wurde der Nobelpreis erstmals an einen Deutschen verliehen?;1901;1908;1912;1883;;Physik: Wilhelm Conrad Roentgen für die Entdeckung der nach ihm benannten Strahlen<br>Medizin: Emil von Behring für die Entdeckung eines Wirkstoffs gegen Diphterie und seine Arbeiten über Serumtherapie;;Nat.-wissenschaften;5
"Wo findet man das ""Keilbein""?";am Schädel;am Oberschenkelknochen;am Brustbein;an der Handwurzel;;Os sphenoidale befindet sich ungefähr in Schläfenhöhe am Schädel.;;Nat.-wissenschaften;5
Welches dieser Lebewesen ist das stammesgeschichtlich älteste?;Blaualge;Rotalge;Grünalge;Kieselalge;;Blaualgen oder Cyanophyceen sind keine Algen im eigentlichen Sinn, sondern werden zu den Bakterien gerechnet.;;Nat.-wissenschaften;5
Woraus wird Lanolin gewonnen?;Wolle;Walfett;Robbenöl;Katzendarm;;Der erste Schritt bei der Verarbeitung von Wolle zu Stoffen ist das Sortieren der Fasern nach Feinheit, Länge und Gleichmäßigkeit. Dann werden die Fasern vom Wollschweiß gereinigt, der aus Lanolin und getrocknetem Schweiß besteht, dem so genannten Wollfett.;;Nat.-wissenschaften;4
Warum ist die Banane krumm?;wegen des Geotropismus;wegen der Anamorphose;wegen des Bioflorismus;wegen der Parazentese;;;;Nat.-wissenschaften;5
Nach wem wurde die erste ständig besetzte Antarktisstation der Bundesrepublik Deutschland benannt?;von Neumayer;von Humboldt;Senckenberg;Amundsen;;Georg Balthasar von Neumayer(1826-1909), deutscher Hydrograph und Geophysiker. Von 1879 an Vorsitzender der Internationalen Polarkommission.;;Nat.-wissenschaften;5
In welchem dieser Erdzeitalter lebten die Trilobiten?;Silur;Devon;Karbon;Perm;;http://www.fossa.de/Trilobita/trilobita.html;;Nat.-wissenschaften;5
Was ist ein britisches Stone?;ca. 7 Kilogramm;ca. 4 Liter;ca. 6 Meter;ca. 1 Stunde;;;;Nat.-wissenschaften;3
